"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 31 07:44:17 UTC 2026","Mon Aug 31 07:44:18 UTC 2026","1133","","com.lakehouse.cases.DataIngestionTest","","com.lakehouse.cases.DataIngestionTest","testSuccessfulDataIngestionAndVerification","testSuccessfulDataIngestionAndVerification()",""
"passed","Mon Aug 31 07:44:18 UTC 2026","Mon Aug 31 07:44:19 UTC 2026","1236","","com.lakehouse.cases.SchemaEvolutionTest","","com.lakehouse.cases.SchemaEvolutionTest","testInPlaceSchemaEvolutionWithoutDataLoss","testInPlaceSchemaEvolutionWithoutDataLoss()",""
"passed","Mon Aug 31 07:43:41 UTC 2026","Mon Aug 31 07:44:04 UTC 2026","22945","","com.lakehouse.cases.SparkResilienceTest","","com.lakehouse.cases.SparkResilienceTest","testSparkExecutorCrashMidWriteLeavesOrphansAndRollsBackCleanly","testSparkExecutorCrashMidWriteLeavesOrphansAndRollsBackCleanly()",""
"passed","Mon Aug 31 07:44:04 UTC 2026","Mon Aug 31 07:44:17 UTC 2026","12238","","com.lakehouse.cases.ResilienceTest","","com.lakehouse.cases.ResilienceTest","testNetworkOutageMidTransactionRollsBackCleanlyAndSelfHeals","testNetworkOutageMidTransactionRollsBackCleanlyAndSelfHeals()",""
